,Comentario
48,"Sin lugar a dudas es un sitio interesante y varias de las figuras son muy realistas, pareciera que en cualquier momento se moverán. Por un momento dudé en pagar el costo del boleto de acceso pero sinceramente valió 100% el costo."
49,"Muy entretenido, hay algunos realmente fascinantes."
50,"Tenía bastante tiempo que no visitaba el museo. Me lleve una agradable sorpresa respecto a lo mucho que han mejorado los modelos de cera, pues son muy realistas. El contraste es notable cuando se compara con los modelos más viejos que siguen en exhibición. Lo malo, es que la comida de la cafetería dentro del lugar es de bastante mala calidad, pero por el resto, una buena experiencia en general."
51,"Me gustó mucho el museo ya se ven super realistas las imagenes, solo sentí que faltaron más figuras icónicas de México como Thalia, Alejandra Guzmán. Del resto me encantó"
52,"Me fascina, es el lugar perfecto para alguna cita inicial o para ir con tu familia, tiene de todo, en realidad se me hace un lugar muy completo."
53,Muy bonito lugar para compartir con tus ídolos en cera
54,Excelente lugar para pasarla bien en pareja o familia. La casa del terror muy entretenido.
55,"El museo es entretenido, los personajes son interesantes."
56,"El lugar cuesta 125 para estudiantes o maestros y 150 para público en general, siento que 100 hubiera Sido un precio justo, entretenido si te gustan personajes de las historia o famosos, si no te gusta la verdad no es tan cool."
57,"El lugar tiene muy fácil acceso, hay estacionamiento públicos o sobre la vialidad pagando parquimetro."
58,"Es un lugar increíble,  hay figuras de cualquier persona con renombre en cualquier ámbito, desde deportistas, artistas, hasta reinas, presidentes, y mucho más. La verdad te llevas una grata experiencia"
59,"Interesante y entretenido, a mi pequeña de 6 años le fascinó y ayuda mucho para contar parte de la historia de nuestro México y el mundo. Nos encantó!   "
60,"Con una privilegiada ubicación en la calle de Londres, muy cerca de las avenidas Chapultepec, Reforma e Insurgentes, este recinto alberga una variada colección de figuras detalladamente elaboradas y cuidadosamente presentadas. Distribuidas en secciones por salas temáticas, lo mismo podemos encontrar a los expresidentes, héroes de la independencia, personalidades de la farándula y la política nacional e internacional, una sala de horror y algunos artistas incluida la época del cine de oro mexicano. Una visita que bien vale la pena disfrutar solos, acompañados de la pareja o en familia 👍🏻"
61,"Es un museo muy interesante con personajes también muy interesante, hay algunos personajes que dan la sensación de estarte viendo, todas la sigues de cera son muy conocidas pero me queda la duda... ¿todos los personajes se encuentran hechas a las mismas altura de las personas reales?"
62,"Cuentan con todas las medidas de seguridad. En cada sala hay gel antibacterial. El personal es muy amable y está al pendiente de ti, para apoyarte y aconsejarte que lugar visitar primero. En mi caso recorrí 4 áreas, por $400. Casi 4horas recorriendo todo. Fue algo muy interesante y divertido, casi no había gente entonces hubo oportunidad de disfrutarlo todo."
63,"A la entrada toman la temperatura y aplican gel antibacterial, el costo dependerá de las atracciones a las cuales  quieras ingresar, el recorrido dentro del museo de cera es muy agradable está dividido por temáticas, desde la sala de presidentes de México pasando por la de deportistas hasta la de músicos. La exhibición de terror está genial algunos son animatrónicos muy bien montados. El laberinto de espejos pequeño pero divertido da paso a la sala infantil. Toma tu tiempo en cada sala, disfruta de las figuras, busca tu mejor ángulo posa y toma todas las fotos que quieras eso sí sin tocar las figuras. Llévate un recuerdo a casa en la tienda de souvenirs tienen varios paquetes que incluyen fotografía, taza ente otros,  su costo varía de acuerdo al paquete; también puedes llevarte a casa una réplica de tus manos en cera por un costo de $65 por mano."
64,Muchas esculturas les falta parecido.  El mejor lugar es el laberinto de espejos
65,"Excelente lugar, gran caracterización,  un gran trabajo del equipo del Miseo de cera, felicidades por el servicio."
66,"Bastante entretenido. Los niños quedaron fascinados. Mucha realidad en las figuras. Personajes de la historia de México, presidentes de la república y de otros países, pintores, muralistas, científicos, deportistas, artistas y personajes de películas de terror. 👏🏽👌🏽"
67,"Genial lugar, muy agradable recorrido, y buenas medidas sanitarias"
68,"Excelente opción para pasar una buena tarde y un rato de sano esparcimiento. Tienen todas las medidas sanitarias pertinentes. Hay opciones para compra de paquetes y visitar los dos museos y otras dos atracciones. La verdad es muy divertido. El recorrido puede durar aproximadamente de hora y media a dos horas tranquilamente. El museo es bastante amplio y está dividido por secciones, pero todo muy en orden de forma que no dejas de ver nada. En el sótano está la sección de terror y la infantil, pero puedes omitir pasar por la de terror pensando en los más pequeños. Los precios son accesibles y hay sanitarios. Muy recomendable."
69,Un excelente lugar para llevar a tu o tus hijos el área infantil es genial para que los pequeños disfruten de sus caricaturas preferidas . La calidad de las esculturas son de 10 es costo es accesible y se equipará con la calidad del recorrido. Lo recomiendo mucho para los niños y más el ares de películas de terror los adultos se llevarán un momento muy agradable y lo que más me agrado es que cuenta con una salida de emergencia por si los niños se asustan .
70,"Muy chingon y divertido el lugar, hasta voy a volver y recomendarlo a conocidos que anden en CDMX"
71,Buen lugar para conocer en CDMX precio accesible
72,Es un excelente lugar para pasar un rato increíble y tomarte fotos con personajes célebres que quizá nunca conocerias.
73,"Amo este lugar. Hay 3 secciones: el museo de cera, el museo de ripleys, y una sección nueva que es cine 4D ( que incluye solo son 2 funciones/animaciones de máximo 7/10 minutos cada una), si compras los 3 boletos, valen mucho la pena y es una experiencia muy divertida."
74,"El recorrido es largo, y te permiten tomar fotos, al final hay una sección de terror que no me esperaba y le gusto a mi familia."
75,"No conocía el museo de cera, el día que fue de verdad me sorprendió el detalle de cada figura y la diversidad de celebridades que se encuentran."
76,"Si pasan por Ciudad de México creo que esta opción es buena para experimentar, el lugar es céntrico y no hay mucha gente."
77,Está muy padre y todas las salas de temáticas están muy interesantes y divertidas
78,"Muy padre, el área de terror de la película el exorcista dónde te puedes tomar foto , todo muy entretenido"
79,"Interesante lugar, recorrido máximo de 1:30 hrs si tomas muchas fotos"
80,"Excelente y muy entretenida la visita, algunos figuras son muy realistas y otras no tanto. El personal es muy atento, el lugar es agradable."
81,"Me encanto, sobre todo la calidad y naturalidad en los detalles de las manos y pies. Recomendado gratamente"
82,"Excelente lugar pará ir con niños, cómo sugerencia por pandemia la gente no guarda su distancia, el personal debería estar recordando a los visitantes ya que no hay mucho espacio y la gente no entiende! Aún cuándo uno le recuerda se molesta !"
83,El lugar es muy bueno y no es caro hasta puedes comprar en combo para el museo de repley
84,"Es un museo que alguna vez en tu vida debes visitar en la CDMX, pero personalmente creo que ya no es lo suficientemente bueno como hace algunos años ya que la primera vez que fui cuando iba en primaria, es exactamente lo mismo a lo que puedes encontrar hoy en día a excepción de algunas nuevas figuras."
85,Muy bien conservado y limpio aunque debería de haber un control en cuanto al aforo por la pandemia ya que de repente se juntan muchas personas en la salas del museo
86,"Me encantó el museo y la trascendencia que tiene como parte de la Ciudad de México, la presencia de tantas esculturas de personajes muy reconocidos me fascinó además de las medidas de protección que mantienen y la organización de sus salas 👏"
87,"Súper bonito! Es fascinante ver los detalles que hacen de la escultura algo tan real, el cuarto de los artistas para mí fue muy significativo e incluso la parte de terror captura muy bien el ambiente, hay una parte para niños que me llevó a recordar buenos tiempos. También hay zona para comidas; cómodo y rico. Vale mucho la pena la visita! La entrada con las 4 atracciones me costó 415 pesos. #koreaconka"
88,"Abre todos los días del año y la experiencia vale totalmente la pena. Altamente recomendado. Adquirí mis boletos con turibus y no tuve que esperar nada para entrar, además de que me ahorré dinero comprando el paquete en el autobús 🚌"
89,"Hace 30 años fui con mis papas lo que me hizo regresar, una muy bonita experiencia muy buenas representaciones, unas mejores que otras, en general muy buenas,.la casa bella y junto al otro museo de Rippley está muy bien, paquetes de parques y comida. Sólo se me hizo muy concurrido y en el sótano donde están los súper héroes los espacios son muy pequeños y se pasan a tomar fotos en cada uno! No se puede pasar!"
90,"Excelente museo, muy bueno,el precio,la calidad,los artistas, es tremenda opciòn al visitar Mexico..."
91,"Una experiencia única, me encantó el Museo de Cera. Se merece 10 estrellas 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟"
92,Bonito lugar para disfrutar en familia y admirar las figuras de cera de personajes tanto nacionales como extranjeros.
93,Me gusto aunque creo que no es tan grande la atracción de terror es buena.
94,"Es un muy buen lugar para ir en familia. Me encantó, lo recomiendo!"
95,"Me encantó, en el museo hay demasiadas figuras en cera y tiene espacios con ambientaciones diferentes, además ""el viaje fantástico 4D"" es un plan súper emocionante!, Volvería sin duda."
96,Impresionante realismo en estas creaciones en cera. Sitio recomendable 100%.
97,"Punto obligado para conocer en México, me divertí mucho con mi familia... personajes súper bien trabajados por grandes artistas...me encantó."
98,"Lugar muy divertido, lleno de varias figuras de cera de personajes destacados o populares, de la historia, de la política, la farándula, el deporte, incluyendo también personajes de ficción, para mi en lo personal la parte más destacada y divertida son las salas de varios personajes del género del terror."
99,"Esta muy bonito! Los personajes se ven muy reales (la mayoría) es muy divertido ir. El Ripley, es más museo que interactivo, pero está igual muy bien."
100,"Las figuras muy detalladas con un amplio repertorio de personajes, muy cuidados los detalles de decoración."
101,Excelente... Y precio justo... Para el servicio y la atención... No hay estacionamiento pero en las calles aledañas hay parquimetros y sábado y domingo el parquímetro no opera.. tanto que l museo de cera como el de Ripley las atracciones son geniales .. 100% recomendados... Y precio accesible para los dos museos...
102,"Todo muy bien, solo que la gente no respeta la sana distancia, es complicado pero aún así las atracciones fijas siguen siendo buenas."
103,Excelente servicio super sanitizado y a precio accesible
104,"El museo se encuentra ubicado en una zona muy práctica para acceder a diferentes lugares como el museo Ridley que está a un lado y cerca del museo del chocolate o de parques cono el jardín del arte de sullivan y diferentes teatros , el monumento a la madre etc. El museo cuenta con figuras de personajes muy bien caracterizados y vale mucho la pena sus diferentes secciones  las de terror estan muy padres lo recomiendo ampliamente"
105,Sin duda es un imperdible en la ciudad de México. Una experiencia agradable para disfrutar en familia.
106,Todo el personal que labora es muy amable
107,"Esta muy padre ofrece un gran número de entretenimientos, el precio es un poco elevado pero vale la pena ... Tienen 4 atracciones principales, el museo de cera con un precio de 150, el riplay de 150, viaje fantástico de 65 y realidad virtual de 90"
108,"Un lugar muy entretenido para pasar el rato, lo recomiendo ampliamente, pueden tomarse fotos a toda hora dentro del museo con cualquier personaje, obviamente hay personajes que a mí punto de vista no se parecen tanto y otros que si aparentan ser muñecos, la gran mayoría si parecen reales."
109,"Muy padre, tienen paquetes para acceder al Museo de Ripley y al de cera"
110,"Muy bonito. Me gusto mucho. Se ven muy reales, se parecen mucho a sus reales. Ojalá pusieran a más personajes. Fuera de ello, todo muy bonito."
111,Con diferentes secciones y temáticas.
112,"Las esculturas super bien hechas, unas no se parecen tanto 🤭, una agradable experiencia"
113,Bastante recomendable y muy interactivo
114,"Vale la pena visitar el museo. Cuenta con figuras tanto nacionales como extranjeras, políticos, deportistas, de la farándula, personajes infantiles y de terror. Las figuras están muy bien representadas."
115,"Un excelente lugar para pasar un grandioso día con tu familia y amigos. Cuanta con muchas estatuas y diferentes áreas como actuación, política, arte, tecnología, casa del terror, área de niños, música, cine y deportes."
116,"Viajamos de los cabos a Cdmx teniamos que ir por ruta de museos y por.supuesto pasamos por este museo , hay que ir temprano pero en verdad muy grata experiencia"
117,Agradable lugar  aunque precios elevados
118,"Sigue siendo tan agradable el visitarlo desde hace tantos años, excelentemente bien conservadas las instalaciones, variación en la exposición de algunos personajes y atención...los precios acordes a lo que se ofrece!!"
119,Muy realistas
120,Excelente.....muchas figuras muy bien hechas......
121,"Muy interesante la exposición, fa impresión el realismo de las figuras"
122,"Buen lugar para ir con la familia o amigos, recorrer todo el museo de cera te tardas un poco más de una hora, el precio es de 130 pesos por la entrada, muchas de las esculturas tienen mucho detalle, ya que son las más actuales, las de personajes que son antiguos son recreaciones que están bien, hay una tienda del propio museo, y afuera un área de botanas-comida."
123,Si está bonito en el museo de cera
124,"Muy buenas exposiciones las que tienen en muestra, realmente son muy realistas y el precio de entrada es económico, una buena experiencia si se requiere pasar una tarde familiar, cuenta con baño sala de cine en 3D-4D y otras aventuras más"
125,"Muy buen lugar, está entretenido y en la sala principal varían algunas exposiciones, hay zona de terror y el atajo a zona de niños para los que no quieren entrar allí"
126,Esta chido aunque a mi no me gusta los de cera pero si esta chido aun lado esta el museo ripley y una actividad de viaje fantástico y la de 360 realidad virtual 415 por todo dos personas solo la fila del 360 si se me hizo pesada
127,"Super padre, muy recomendado para niños y adultos 😍"
128,Me divertí muchísimo
129,"Super padre , todas las salas muy bien acomodadas una excelente experiencia qué no se deben de perder."
130,"Vale la pena el costo. Tiene subterráneos con salas de miedo, bandas, presidentes etc. Está bien padre junto con el de Ripley. La dirección exacta es Londres #6"
131,"El recorrido es amplio y hay muchas cosas que ver, el lugar es muy limpio también."
132,Super divertido y muy recomendable. Dos museos con muy buenas experiencias
133,Excelente opcion para llevar a los niños en vacaciones...  se pasa un buen rato
134,"Excelente lugar, las temáticas, de personajes de política, deportiva, de la historia están muy bien hechas y jajaja la temática de del terror jajaja la pase corriendo jajaja excelente  lugar, disfrútenlo  y a demás la compañía excelente gracias mi vida. !! Un gran día!! ❤"
135,He ído muchas veces y siempre lo actualizan y lo arreglan. ¡Siempre es divertido ir! ¡Me encanta que ahora se pueda uno tomar fotografías con las figuras!
136,Es la primera vez que visito un museo de cera y la verdad ha sido una experiencia bastante agradable y divertida.
137,"Muy interesante el lugar, la parte de terror es la mejor y la de animados. Hay figuras que no que no se parecen en lo absoluto al personaje. Deben mejorarlas. El lugar adecuado, buenas mediadas, buena ubicación."
138,"Lugar de interés, las obras son llamativas y de  buena calidad. En general el servicio es bueno y el recorrido es eficiente. Vale la pena sacar el tiempo durante un viaje para conocer este museo y pasar un rato agradable. El precio y los horarios son adecuados."
139,"Increíble, un resto de personajes actuales, históricos, deportistas y el más grande de todos.... El Santo!"
140,"Muy bonitas las figuras, el recorrido en orden y limpieza, ambiente familiar. SOLO UNA OBSERVACIÓN: PARA MEJORAR: NECESITAN UNA BUENA ATENCION Y ACTITUD DE SERVICIO AL CLIENTE EN LA TIENDA DE SOUVENIRS."
141,El museo es muy divertido. Es un sitio totalmente hecho para entretenerte y tomarte muchas fotos. Quizás sería más interesante si hubiera un poco de información sobre las personas que ahí están pero tampoco estoy seguro que sea el tipo de experiencia que el público busca.
142,Muy buen museo!
143,"Un lugar súper entretenido, por una cuestión de tiempo sólo entramos al museo de cera pero puedes visitar hasta tres atracciones."
144,"Museo súper entretenido y divertido, desde los más pequeños hasta los más adultos, cuenta con muchos personajes y la calidad del trabajo, del parecido es impecable, ideal para tomarte muchas fotos y recordar a íconos de toda nuestra cultura, y además también se encuentra el Museo de Ripley que también es muy recomendable."
145,"Hermoso museo, lo visité hace 20 años y ahora que lo vuelvo a visitar me sigue pareciendo extraordinario, muy recomendado para niños mayores de 10 años, sobre todo por la zona de terror, aunque sin problema si son peques la puedes ""brincar"", recuerden llevar credencial de estudiantes ya que hacen un buen descuento."
146,Las exposiciones son muy interesantes y cada estatua es una obra de arte....
147,"Un lugar q no puedes perderte, si vienes a la ciudad de México."
