,Comentario
47,"Es muy genial, tiene muchísimas cosas que no alcanzas a ver en un día, lo mejor es que el domingo es GRATIS, lo más gracioso fue que en uno pasamanos estaba escrito ""No sé Enamoren"""
48,Un grandioso lugar para aprender sobre historia y cultura de México. Hay que ir con tiempo para entrar a todas las salas.
49,"Un museo impresionante para aprender sobre historia, antropología, biología e incluso hay exposiciones de culturas prehispánicas. Definitivamente no está hecho para ser recorrido en un solo día sino en dos o hasta tres si te gusta irte despacio y quieres meterte a fondo en el tema."
50,"Nunca terminare de admirar la magnificencia de nuestros antepasados, culturas ancestrales que se fueron perdiendo pero nos dejaron un legado que aun persiste en nuestros dias, es lo que nos muestra este extraordinario lugar, hay que visitarlo seguido para  no olvidar nuestros origenes."
51,Es inmenso y abrumador...
52,"Museo de obligada visita si estás en CDMX. Exposiciones permanentes sobre las principales culturas que han pisado el país, todas las piezas de artesanía, miniaturas y maquetas son exquisitas. No pueden irse de la ciudad si haberlo visitado..."
53,"Me gusta mucho este museo, la forma en la que está distribuido. Ahora después de la pandemia están algunas salas en remodelacion pero aun así sigue siendo un museo muy hermoso, debe ser visita obligada cuando estás estás CDMX"
54,Parada obligada si es que vienes de turista a CDMX.
55,"Genial la experiencia, muy bien organizado, toma tiempo recorrerlo a cabalidad, tal vez de tres a cuatro días."
56,Es necesario destinar al menos 5 horas para ver todas sus salas y leer con atención.
57,"Lugar muy bonito, lleno de nuestra historia y cultura. Es obligatorio visitarlo de menos una vez."
58,"Quedé fascinada con lo grande e interesante que es, me faltó tiempo para recorrerlo por completo, entrada libre después de las 4 pero definitivamente tengo que volver para poder visitar todas las salas"
59,"Es un museo enorme, muy completo, tiene representaciones gráficas muy reales. Buenas medidas por covid, entrada accesible (80 pesos). Hay visitas guiadas y/o cada quien por su cuenta."
60,Siempre es muy grato e interesante conocer la historia de nuestro país a través de diferentes culturas y sus costumbres
61,"Espectacular, visita obligada en CDMX, un recorrido visual educativo y muy completo por la historia de México y su rica cultura"
62,"Hermoso Museo, con mucha historia. Recomiendo ir temprano para recorrer todo tranquilo."
63,PIEZAS UNICAS..
64,"Este museo es una maravillosa obra de arte en si mismo y es muy completo, es inmenso, se necesita paciencia para recorrer sus salones repletos de historias y personajes. Este es uno de los 10 mejores museo de el mundo y el más barato de visitar."
65,"Hermoso e interesante, cada escenario es tan real en sus primeras salas."
66,"Excelente lugar para conocer más acerca de la historia de México, hay muchas cosas que ver. Me gustaría que más descripciones de las exposiciones estuvieran traducidas al Inglés."
67,De mis museos favoritos! La entrada es gratis para estudiantes mexicanos. Hay muchísimo qué ver entonces hay que ir dispuesto a pasar un buen tiempo ahí. Los textos están en español y traducidos al inglés para el entendimiento de extranjeros.
68,"Gran lugar, varias salas. Ve con tiempo, cierran a las 5 pm. Costo $85. Domingos libre. La tienda de regalos muy pequeña y con algunas cosas interesantes."
69,Un museo único. Espectacular. Donde la mexicaneidad nace y renace.
70,Gran cantidad de piezas hermosas. Una experiencia espectacular me tome 3 horas en realizar el recorrido.
71,"La exposición actual de ""La grandeza de México"" está fabulosa. Se pueden apreciar piezas únicas que se tienen que regresar algunas al extranjero"
72,"El mejor lugar para conocer la historia y diferentes culturas Mexicanas en toda su extensión. Gran calidad de la muestra, lugar obligado para visitar en CDMX, bella arquitectura y amplias salas con rica colección. De mis lugares favoritos!"
73,Increíble!!! Costos accesibles con credencial de estudiante no pagas. Muy agradable te la  pasas.
74,"El museo de antropología para mí es uno de los mejores museos del mundo, si te gusta la historia azteca maya es algo que no puedes dejar pasar, cuesta 80 pesos, pero merece mucho la pena, recomiendo hacerla con guis, pues sino vas un poco a lo locoooo, a no se que seas muy friki y te lo sepas todo de memoria que eso también está bien."
75,"En diciembre de 2021 se inauguró la exposición la Grandeza De México, que resume en pocas piezas el deslumbrante nacionalismo."
76,Espectacular tanto en lo edilicio como en la colección de piezas que allí exhiben. Alberga una de las recopilaciones más completas de arte preincaico que he visto.
77,Un museo maravilloso que permite dar un vistazo a la riqueza de este gran país!
78,"Uno de los puntos obligados para conocer y visitar mil veces en la Ciudad de México. Puedes pasar todo el día aquí adentro y aún así no llegarás a verlo todo. Es muchísima información, miles de años de historia y cultura de la humanidad."
79,"Es uno de los museos más hermosos de la CDMX, puedes disfrutarlo desde la entrada admirando el diseño del edificio y la hermosa fuente del ""paraguas"" ;las diferentes salas tratan desde el poblamiento de América y las diferentes culturas del Sur , centro y Norte de México en los periodos del preclàsico, clasico y postclàsico. Vale la pena destacar las salas de Teotihuacàn y Los Mayas."
80,"Lindo museo. Tiene mucho de la historia de México claramente. La entrada NO ES GRATUITA. Queda en el barrio de Polanco, barrio muy lindo dentro de Ciudad de México. Y el museo es muy muy grande."
81,"Me pareció un recinto bastante agradable, aunque desconozco muchos otros museos por lo que no se si muchos sean así."
82,"Excelente lugar, instalaciónes increíbles, excelente atención del personal, tiene áreas al aire libre, Ya había asistido de joven durante la secundaria y ahora con mi familia y volví a disfrutar de nuevo como si fuera la 1a vez."
83,"Excelente museo para locales y extranjeros, muestra un poco de los vestigios importantes de las culturas pasadas de este país, arquitectura impresionante y las recreaciones de los centros ceremoniales valen la penas para transportarse como si se estuviese en otro lugar"
84,"Este lugar es increíble,  si van a visitar este lugar lleven calzado cómodo."
85,"Uno de los mejores museos del mundo. Sin duda. Es muy grande, así que es recomendable ir al menos 3 días. De lo contrario, si no se dispone de tanto tiempo, es recomendable visitar las zonas Maya, Azteca, Oaxaqueña y Zapoteca."
86,"El mejor museo de la Ciudad de México, si te interesa la historia de los pueblos mesoamericanos, si eres extranjero te convendría ir con un guía ya que hay muy poca información en inglés"
87,Uno de los mejores y más icónicos museos de todo México. Si eres turista es una visita obligada que te ayudará a entender mejor la historia del hombre y también la historia de nuestro país. Es súper interesante y las exposiciones permanente como las temporales son extraordinarias. Es recomendable contratar a un guía para que te explique todas las dudas. En mi opinión este museo sería comparable con el museo del Cairo dónde expone la historia del país y de las civilizaciones antiguas aún detalle increíble. Me encanta visitar el museo y lo seguiré haciendo muchas veces. Es muy enriquecedor.
88,"Para Mi lo mejor de Mexico 🇲🇽 este museo, impresionante las colecciones que atesora. Lo recomiendo."
89,Lugar que no se puede omitir en una visita a CDMX. Hay que sacar algunas horas para sacarle el mayor provecho.
90,"muy lindo el lugar preciosa la arquitectura y las piezas que exhiben impresionantes ,muy buena experiencia la verdad la gente es muy amable y aprendes demasiado"
91,"Cobran 80 pesos, los cajeros son groseros. Los domingos ya no abren, que por pandemia y pues como no se cobra no les conviene. De hecho los días domingo que era gratis no funcionaba la cascada, solo los días que si se cobraba."
92,"Impresionante lugar! 🏛con una larga historia, es uno de los lugares que no puede faltar en tu visita a México! No te preocupes si ya estás cansado hay sillas de ruedas porque si piensas en recorrerlo y verlo todo si no tienes algún problema para caminar excelente, de lo contrario es mejor obtener una 💺  solo vimos la mitad ya estábamos cansados y con mucha hambre. Quedó pendiente para el próximo viaje!✈️👍"
93,Definitivamente uno de los mejores museos que he visitado!!
94,"Éste museo vale mucho la pena y más si eres un fanático de la historia y nuestra evolución, quedé encantada y un día no es suficiente para recorrer todo el museo."
95,"Estuvo muy divertido e interesante. Tengan cuidado con unos tipos en la entrada, te ofrecen ofertas y te engañan. El restaurante estuvo muy bueno, pero es un poco caro. Una comida para 4 personas puede costar fácilmente más de 1,000 pesos MXN. Es una experiencia bonita y acogedora."
96,"Buen lugar para visitar en familia y entender mejor nuestras raíces, vale la pena llegar temprano para recorrerlo con calma..."
97,"Impresionante, es gigantesco y se podría apreciar mejor si se visita en dos días."
98,"Definitivamente UN Lugar para recorrer, vale la pena no tener afán."
99,Excelente sitio para revivir el pasado. Muy recomendado!
100,Exelente museo muy impresionante justo como lo recordaba un enorme placer pasar tiempo en un museo cómo está
101,"Uno de mis museos favoritos, si o si te llevas una experiencia bastante agradable y sobre todo muy interesante, muy estrictos con los lineamientos de sanidad de covid19 pero es totalmente recomendable ir a visitarlo."
102,"Está hermoso, lleno de cultura, las raíces de nuestro México,  es muy grande, terminas agotado pero vale la pena visitarlo"
103,Para conocer las diferentes culturas. Si el recorrido está cansado. Necesitan irse temprano si su plan es ver todo.
104,"Muy agradable y limpio, toda una experiencia para compartir con la familia,  mucha información buena."
105,Hermoso lugar fuimos un domingo pero tuvimos que abonar en el zoo. Los domingos es gratis para turistas 😎👍
106,"Increíble ....un lugar muy especial , toda la historia recopilada en sus salas , todo es original y la Piedra del Sol ....que pieza tan increíble ...una maravilla..."
107,"Muy recomendable ir con tiempo, a mí me tomo 3 horas la visita. Si llegas a las 10 puedes entrar más rápido ya después se llena."
108,"Si les gusta conocer sobre las culturas en nuestro país, y pasar una tarde agradable se los super recomiendo"
109,"Interesantísimo, un museo de lo mejor, se cobra creo 80 pesos, pero si eres estudiante o profe no pagas! Y la verdad es un excelente lugar para visitar a quienes disfrutamos de cultura y civilizaciónes antiguas 👍"
110,"No soy fan de los museos pero estoy muy feliz de haber ido. La entrada fue solo 80 pesos mexicanos y pasé alrededor de 4 horas de las cuales no me aburrí jamás, toda la exhibición es muy interesante y yo muy bien preservado."
111,Es uno de los lugares que no puedes dejar de visitar si vienes a Ciudad de México
112,"Un museo hermoso, bien diseñado, espacios amplios, desde el inicio de los primeros pobladores del continente hasta las culturas prehispánicas, les sugiero dos cosas: tomar la guía, la cual es enriquecedora o leer sobre las culturas que se establecieron en nuestro México, sobre todo, los dioses sus nombres y sus formas culto, en cuyo caso giraba todo el mundo de las diferentes ciudades y de la antigua Tenochtitlan, la tienda  del lugar es impresionante, realmente precios accesibles en muchos artículos como magnetos y memoramas, el estacionamiento muy accesible, pagamos $57 pesos y estuvimos más de 4 horas. Los jardines exteriores son impresionantes, lleven calzado cómodo, y saliendo de ahí disfruten si pueden a los voladores de Papantla o a los danzantes urbanos. El precio de la entrada general es de $80 pesos, lleven sus credencial de estudiante, maestro o inapam para recibir descuentos."
113,"Es sumamente entretenido y extremadamente grande, pienso se necesitan 2 días para recorrerlo todo... Haha"
114,"Impresionante lugar, las salas de exposiciones están estupendamente montadas. Tan sólo al entrar ves la fuente que cae desde el techo y eso a mí me impresiono. De verdad lo recomiendo, pero recomiendo lleguen temprano porque es muy extenso. Hay muchos lugares para comer en los alrededores y dentro del mismo museo."
115,"Por la pandemia no están abiertas las salas permanentes, pero instalaron una sala ""resumen"" de gran parte del museo que si bien no me satisfizo del todo, me dejó con lo elemental del museo. Me obligan a regresar, pero algo se pudo ver. Recomiendo la sección de arte moderno."
116,No pierdas oportunidad de visitarlo.
117,"Muy interesante museo, para recordar y aprender 👍"
118,"Un lugar magnifico, lleno de evidencia histórica nacional. Excelente ambiente familiar y tranquilo."
119,"La verdad es de los museos que más me han impresionado, ya que contiene en el muchos artefactos de las culturas antiguas Mesoamericanas, la arquitectura es impresionante y el lugar es cómodo para ir de excursión"
120,"El museo siempre ha sido maravilloso!, el acceso es rápido, las medidas de seguridad muy responsables, fuimos por visitarlo y ver el cortometraje de animales sagrados, pero el sonido es muy alto, la explicación es en español y maya, pero no se escucha bien, porque ambas se escuchan de manera alterna y por el alto volumen, no se escucha como uno quisiera.  Por otra parte, la sección de tesoros nacionales recuperados, es formidable y muy grato ver los tesoros nacionales en casa."
121,"If your interested in Mexico, Aztec,Hispanic and world history this place has it all. Wear comfortable shoes and give yourself four to five hours to explore because this museum is huge."
122,"Es un museo más a visitar, pero éste en particular está muy bien cuidado"
123,"Que recorrido tan chevere, se aprende y se conoce de la cultura Mexicana"
124,"Es una buena experiencia y necesitas tener suficiente tiempo para visitar, al menos 4 horas.."
125,Importante visita para conocer la historia y cultura Mexicana
126,"Hermoso, vale 100% la pena. Recomiendo dedicarle varios días para recorrerlo completo, con calma y descansos."
127,"Un lugar maravilloso!!, Hace que aún ame más mi cultura!!"
128,"Es un museo simplemente hermoso, la arquitectura, las piezas expuestas, las exposiciones temporales, incluso los cursos son muy buenos."
129,Muy interesante y completo para conocer mejor la rica historia de México. Imprescindible
130,Un lugar muy interesante con mucho por ver y conocer vale la pena visitarlo
131,Simplemente un lugar extraordinario. Lleno de sorpresas y cosas magníficas. Encantador.
132,Aqui se representa una parte pequeñita de  LA GRANDEZA DE MÉXICO...!!!
133,"Mi museo favorito en el mundo , muestra la historia de las culturas mesoamericanas como ningún otro lugar en el mundo, nunca me canso de volver, es mi visita obligada cuando voy a México🇲🇽♥️"
134,Obligada visita en el DF. Mínimo 2-3 horas para verlo completo y con calma
135,"Es un gran sitio para conocer la historia de México desde su origen y conocer más de las diferentes culturas que formaban el país antes de serlo, una pista.... No sólo había aztecas."
136,"Beautiful place, takes security more seriously than the airport. Un lugar muy lindo y con muchas cositas historicos interesantes. Tambien el seguridad hay mejor del aueropuerto."
137,Una maravilla de edificio y un museo con piezas espectaculares
138,"Un museo hermoso, bastante grande a un precio muy accesible, las exposiciones temporales también son exelentes, un museo que debes visitar si te gustan los museos y tienes tiempo a disposición."
