,Comentario
49,"Es un espacio único, cargado de conocimiento y con muchos experimentos explicativos. ¡genial! Lamentablemente en este momento muchas pantallas interactivas no están en funcionando, dejándote sin la experiencia. Además, al ser un museo totalmente interactivo no tiene una secuencia de aprendizaje como los museos tradicionales. Es un espacio que deseo le den el mantenimiento y cuidados necesarios para que siga siendo un lugar increíble para el aprendizaje."
50,"La atención de las personas es muy buena!
El lugar es amplio con distintas salas en las que tú puedes aprender sobre distintos temas.
Este museo está enfocado más en el aprendizaje de los adolescentes debido a que son temas que se manejan en ámbito escolar.
Si bien es para quienes asisten a una institución puedes tú ir con algún familiar a descubrir zonas pocas comunes."
51,"Me parece un hermoso lugar independiente de las salas que siempre hay me gusta que pongan nuevas exposiciones pero eso no quiere decir que las otras sean aburridas al contrario siempre que voy siempre me vuelvo a sorprender de todo lo que hay
Me gusta mucho que tengan los aparatos para interactuar con ellos porque así se puede entender mucho mejor sobre el tema que hay en la sala aunq por lo mismo ya hay algunos que están en mantenimiento
Los baños siempre limpios me gusto que ya hay restaurante y cafetería en fin nunca eh tenido queja sobre este museo"
52,"Es mejor si compras tus boletos en línea porque el acceso es más rápido, el tiempo se pasa super rápido en cada modulo o exhibición, aparte es interactiva, solo recuerda desayunar bien porque si sales tienes que volver a pagar para entrar, esta muy grande por lo que si no te da tiempo de recorrerlo todo te quedarás con ganas de volver, bueno aun si lo terminas te seguirán quedando ganas."
53,"Lo he visitado varias veces y nunca puedo terminar de recorrerlo, entrar a Universum, es entrar a otra dimensión, dónde pierdes la noción del tiempo y el espacio.

Muchísimas actividades puedes realizar, tanto niños como adultos, quedas fascinado con lo que observas, aprendes o vuelves a acordarte si ya se te había olvidado.

El precio, más o menos accesible, si vas solo, a diferencia si vas con la familia.

Tiene estacionamiento, el precio es de $10.00 pesos tiempo libre.

Afuera tiene juegos infantiles y áreas verdes, por si deseas pasar un momento relajado, volviendo a la realidad, mientras los niños, (si los llevas) se siguen divirtiendo otro rato más.

Recomendación: Ve con tiempo suficiente para que puedas recorrer todo y acude con ropa cómoda, porque si no terminarás agotado!!!"
54,"Un museo genial, aprendes de varios temas, matemáticas, el cuerpo humano, quimica, el mar, la prevención familiar, la violencia contra la mujer. Cabe destacar que el personal que ahí labora tiene toda la actitud, son jóvenes que se toman el tiempo para explicarte cada tema, con datos muy interesantes y con una forma muy ligera de platicarlos. Las instalaciones muy cuidadas, muy bien acomodado todo... En general es un muy buen museo para ir en familia y para amasar recuerdos muy gratos. No dejen de visitarlo."
55,"Un buen museo muy entretenido vaya manera de dar a conocer aspectos de la tecnología, de la ciencia, de la salud, de la vida en el planeta tierra la verdad las exposiciones son muy buenas también el Planetario  y las diferentes actividades que manejan en el Museo son muy interactivas y muy buena, Los costos también no son muy elevados son precios muy accesibles para todo público independientemente de que seas alumno o no de la UNAM"
56,"Excelente lugar para llevar a tus hijos. Instalaciones buenas  , sin embargo ya hace falta un mantenimiento"
57,"Es un espacio divertido para acercarte a la ciencia, aprendes muchísimo y es agradable para visitar con familia o pareja."
58,"Está mal cuidado, áreas en muy mal estado como la del universo, y el tema fósiles es un robo, es una habitación con 4 fósiles y para colmo se pueden ver desde la primera y segunda planta."
59,Yo estoy planeando ir busque información en la página. Me parece excelente todo lo que brindan. Espero ir pronto y contarles mi experiencia en el Universum.
