,Comentario
43,"En este museo conocerás parte de nuestra historia, resaltando el proceso qué se vivió para consumar la independencia. ¡La arquitectura del edificio es hermosa!"
44,Es un edificio grande con mucha historia pero las exhibiciones sería bueno que siguiera la secuencia de como paso la lucha de la independencia. Muchas de las salas no tienen relevancia con dicho tema.
45,Desconocía qué era un museo y es muy enriquecedor con excelente información y pasajes de nuestro desarrollo como nación.
46,"Me encantó el museo, sin duda un sitio que no te puedes perder si vas a Guanajuato"
47,"El lugar es interesante, cuenta parte de la historia real y leyenda de México. Vale la pena ir con un guía certificado que conozca la historia y la cuente. A un costado está el tranvía, y después de salir puedes subir y disfrutar de un complemento de relatos históricos."
48,"Hermoso edificio aunque la historia es triste para mi, el sobrevivir es siempre y será un acto con consecuencias. Bello Guanajuato ❤️🐸💚"
49,"Dos ocasiones he visitado el lugar, es majestuoso el contemplar la alhóndiga por fuera 😢 me ha tocado que hay eventos y no puedo ver el interior está ocasión fue por el cervantino 😍"
50,"Sin duda es un increíble ligar lleno de cultura, el espacio es inmenso por lo que recorreras una gran parte de la Historia.

El costo es accesible y tiene entrada gratuita a estudiantes

El personal está disponible en cada sala para responder dudas y darte explicaciones aprovechalos.

En resumen puedes recorrerlo de manera rápida solo viendo, detenida leyendo la información o tomarte tu tiempo para conocer todo junto al personal

Muy recomendable"
51,"Lugar histórico, muy interesante lleno de pinturas y artículos prehispánicos"
52,Un lugar lleno de historia... El edificio es imponente además toda la historia que existe en esa edificación la convierte en una pieza clave de visitar en Guanajuato. Sin duda es una parada obligatoria no solo por su historia si no por su arquitectura y diseño.
53,"Muy bonito el espacio, y emblemático por lo que significó en la lucha de independencia"
54,"Emblemático lugar de Guanajuato lleno de historia. Ubicado cerca del centro, es un lugar que debes de visitar si o si. Es un lugar muy transcurrido y es un poco complicado encontrar estacionamiento ya que casi no hay; aunque cerca hay uno público pero está muy complicado encontrar estacionamiento."
55,"Excelente Museo, muestra las diferentes etapas de México en la Región de Guanajuato. Lo mejor sobre la independencia y demás etapas. Muy recomendable, amplio y bien montado, costo super accesible."
56,"Muy lindo, limpio y no había mucha gente cuando estuve hay"
57,"Excelente recinto, señalamientos adecuados, limpieza en todo, incluyendo baños.. guías con conocimiento de causa, buena vigilancia."
58,"Siempre será un lugar extraordinario para reflexionar o platicar con alguien en las escalinatas. Lugar de grandes eventos de música, deportivos o culturales."
59,La independencia de México se vive al cien con este lugar
60,"mudo testigo de la historia de Mexico, lugar obligado, el museo por pandemia esta cerrado  pero de verdad conozcanlo, pregunten por su historia, tomense fotos, es un lugar hermoso"
61,"Esta genial... La historia de nuestro México es única. No pueden dejar de visitar este lugar, ampliamente recomendado!!"
