,Nombre,Temática,Adscripción,Página web,Entidad,Municipio
417,Museo de Historia Natural y Cultura Ambiental,Ciencia y tecnología,Gobierno de la Ciudad de México/Secretaría del Medio Ambiente,http://data.sedema.cdmx.gob.mx/museodehistorianatural/?view=featured,Ciudad de México,Miguel Hidalgo
418,Museo Nacional de la Cartografía,Historia,Secretaría de la Defensa Nacional (SEDENA)/Dirección General de Archivo e Historia,http://www.gob.mx/sedena/acciones-y-programas/museo-nacional-de-la-cartografia,Ciudad de México,Miguel Hidalgo
419,Museo Casa Presidencial Lázaro Cárdenas,,Secretaría de Cultura del Gobierno de México,https://www.gob.mx/cultura/prensa/abre-al-publico-el-museo-casa-presidencial-lazaro-cardenas-espacio-de-memoria-y-documento?idiom=es,Ciudad de México,Miguel Hidalgo
420,Museo de Arte Moderno (MAM),Arte,Secretaría de Cultura/INBA,https://mam.inba.gob.mx/,Ciudad de México,Miguel Hidalgo
421,Museo Legislativo Los Sentimientos de la Nación,Historia,"H. Cámara de Diputados/Dirección General de Servicios de Documentación , Información y Análisis",http://museolegislativo.diputados.gob.mx/,Ciudad de México,Venustiano Carranza
422,Sala de Exposiciones de la Terminal 2 del Aeropuerto Internacional de la Ciudad de México Benito Juárez,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/269-sala-de-exposiciones-de-la-terminal-2-del-aeropuerto-internacional-de-la-ciudad-de-mexico-benito-juarez,Ciudad de México,Venustiano Carranza
423,Museo Profr. Enrique W. Sánchez García,Arqueología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Canatlán
424,Museo Comunitario Kokopelli,Arqueología,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Canatlán
425,Museo Comunitario Concuemitl,Historia,Ayuntamiento de Cuencamé,,Durango,Cuencamé
426,Museo Comunitario Gral. Calixto Contreras,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Cuencamé
427,Museo Comunitario de Velardeña,Historia,"Unión de Museos Comunitarios del Estado de Durango, A.C.",,Durango,Cuencamé
428,Galería Episcopal de Catedral. Museo de Arte Sacro,Arte,"Asociación Amigos de la Catedral, A.C.",https://museo.catedraldedurango.com/,Durango,Durango
429,Museo Regional de Durango Ángel Rodríguez Solórzano,Historia,Universidad Juárez del Estado de Durango,http://www.museo.ujed.mx,Durango,Durango
430,Museo de la Ciudad 450,Historia,Instituto Municipal del  Arte y la Cultura de Durango,,Durango,Durango
431,"Bebeleche, Museo Interactivo de Durango",Ciencia y tecnología,Gobierno del Estado de Durango,http://www.bebeleche.org.mx/,Durango,Durango
432,Museo de Arte Funerario Benigno Montoya,Arte,"Ayuntamiento de Durango, Instituto Municipal del Arte y la Cultura ",http://imac.municipiodurango.gob.mx/,Durango,Durango
433,Museo de Historia y Arte Contemporáneo El Palacio de los Gurza,Arte,Instituto de Cultura del Estado de Durango,http://museogurza.iced.durango.gob.mx/,Durango,Durango
434,Museo de Arte Guillermo Ceniceros,Arte,Instituto de Cultura del Estado de Durango,http://www.guillermoceniceros.com/museo/,Durango,Durango
435,Museo de Arqueología Ganot-Peschard,Arqueología,Instituto de Cultura del Estado de Durango,http://museoganotpeschard.iced.durango.gob.mx/,Durango,Durango
